solution_EF;solution_PBDW;solution_PBDW_eta;solution_PBDW_z
0.40298;0.40298;-5.6807e-08;0.40298
0.46081;0.46081;-2.0502e-07;0.46081
0.26222;0.26222;3.112e-08;0.26222
0.29715;0.29715;-2.6034e-07;0.29715
0.31451;0.31451;-7.8054e-09;0.31451
0.43714;0.43714;5.3234e-08;0.43714
0.2934;0.2934;-3.1143e-08;0.2934
0.42734;0.42734;-4.3115e-08;0.42734
0.26211;0.26211;-3.0489e-08;0.26211
0.46178;0.46178;2.0177e-07;0.46178
0.32381;0.32381;1.0157e-08;0.32381
0.39464;0.39464;2.1043e-07;0.39464
0.2443;0.2443;1.9546e-07;0.2443
0.49455;0.49455;2.3812e-07;0.49455
0.31298;0.31298;-7.8295e-08;0.31298
0.43421;0.43421;2.3469e-07;0.43421
0.2255;0.2255;6.5508e-08;0.2255
0.43522;0.43522;-5.1546e-08;0.43522
0.33464;0.33464;3.9719e-08;0.33464
0.31304;0.31304;-7.0224e-08;0.31304
0.38547;0.38547;-1.2341e-07;0.38547
0.27797;0.27797;1.8258e-07;0.27797
0.30663;0.30663;-1.6785e-07;0.30663
0.39668;0.39669;1.9889e-08;0.39669
0.29489;0.29489;5.6269e-08;0.29489
0.37252;0.37252;5.9381e-09;0.37252
0.43814;0.43814;9.374e-08;0.43814
0.26753;0.26753;-2.5169e-07;0.26753
0.47497;0.47497;-3.8856e-07;0.47497
0.26858;0.26858;-2.358e-07;0.26858
0.34405;0.34405;4.4436e-08;0.34405
0.42245;0.42245;-1.0521e-08;0.42245
0.27481;0.27481;-4.6283e-08;0.27481
0.45075;0.45075;-2.2908e-07;0.45075
0.27702;0.27702;-1.8675e-07;0.27702
0.48777;0.48777;1.9096e-07;0.48777
0.32481;0.32481;-2.4952e-08;0.32481
0.40859;0.4086;2.3988e-07;0.40859
0.22957;0.22957;2.0852e-07;0.22957
0.51624;0.51624;-5.8242e-08;0.51624
0.36586;0.36586;-7.9344e-09;0.36586
0.36376;0.36376;6.7997e-08;0.36376
0.22133;0.22133;9.6284e-08;0.22133
0.3631;0.3631;5.4166e-09;0.3631
0.34311;0.34311;-2.0274e-08;0.34311
0.24739;0.24739;1.4013e-07;0.24739
0.50048;0.50048;-3.4808e-07;0.50048
0.29983;0.29983;-1.5958e-07;0.29983
0.41241;0.41241;8.194e-08;0.41241
0.24457;0.24457;-6.9279e-08;0.24457
0.33009;0.33009;8.8788e-08;0.33009
0.37357;0.37357;3.4375e-08;0.37357
0.26181;0.26181;9.9793e-08;0.26181
0.34586;0.34586;-1.0393e-07;0.34586
0.38918;0.38918;-3.0169e-08;0.38918
0.35334;0.35334;-2.5365e-08;0.35335
0.40028;0.40028;1.1976e-07;0.40028
0.19487;0.19487;-1.8595e-07;0.19487
0.5743;0.5743;-9.3468e-08;0.5743
0.36889;0.36889;-1.1075e-08;0.36889
0.45657;0.45657;1.3193e-07;0.45657
0.28189;0.28189;-2.6224e-07;0.28189
0.4619;0.4619;-1.3714e-07;0.4619
0.2518;0.2518;-2.4183e-07;0.2518
0.52612;0.52612;1.7676e-07;0.52612
0.33481;0.33481;-1.1324e-08;0.33481
0.42039;0.42039;2.3976e-07;0.42039
0.21019;0.21019;1.2644e-07;0.21019
0.54035;0.54035;-2.6666e-07;0.54035
0.35226;0.35226;-8.6148e-09;0.35226
0.38421;0.38421;-7.6787e-09;0.38421
0.21518;0.21518;1.4662e-08;0.21518
0.51297;0.51297;1.1856e-07;0.51297
0.34281;0.34281;-7.1753e-09;0.34281
0.39662;0.39662;2.0709e-07;0.39662
0.21802;0.21802;1.2716e-07;0.21802
0.503;0.503;-9.8434e-08;0.503
0.3805;0.3805;2.9289e-09;0.3805
0.33706;0.33705;-3.8858e-08;0.33705
0.23253;0.23253;6.4261e-08;0.23253
0.43887;0.43887;1.4655e-07;0.43887
0.37867;0.37868;-3.0935e-09;0.37868
0.30753;0.30753;9.1468e-08;0.30753
0.41028;0.41028;3.0815e-08;0.41028
0.31169;0.31169;8.0331e-08;0.31169
0.44192;0.44192;1.12e-07;0.44192
0.28051;0.28051;-2.0002e-08;0.28051
0.41591;0.41591;-6.9833e-09;0.41591
0.29791;0.29791;5.5787e-08;0.29791
0.27689;0.27689;-4.934e-08;0.27689
0.55735;0.55735;-6.9358e-09;0.55735
0.35653;0.35653;-7.0663e-09;0.35653
0.4077;0.4077;1.7167e-07;0.4077
0.19912;0.19912;-9.5793e-08;0.19912
0.38351;0.38351;6.951e-08;0.38351
0.56327;0.56327;-1.7673e-07;0.56327
0.20119;0.20119;-6.0479e-08;0.20119
0.37355;0.37355;-1.4934e-08;0.37355
0.3959;0.3959;-1.3549e-08;0.3959
0.36095;0.36095;2.2346e-09;0.36095
0.27174;0.27174;2.2171e-07;0.27174
0.33198;0.33198;-1.536e-07;0.33198
0.41108;0.41108;-3.6682e-08;0.41108
0.45511;0.45511;1.1522e-07;0.45511
0.29369;0.29369;-1.0814e-07;0.29369
0.43871;0.43871;-1.9829e-08;0.43871
0.25026;0.25026;-3.08e-08;0.25026
0.48114;0.48114;3.3809e-07;0.48114
0.34938;0.34938;1.2035e-08;0.34938
0.36762;0.36762;1.685e-07;0.36762
0.23644;0.23644;1.4292e-07;0.23644
0.46923;0.46923;1.9108e-07;0.46923
0.44904;0.44904;1.2059e-07;0.44904
0.30879;0.30879;-6.4666e-09;0.30879
0.41126;0.41126;6.7445e-08;0.41126
0.2528;0.2528;1.1395e-07;0.2528
0.52748;0.52748;-2.5592e-07;0.52748
0.33322;0.33322;-5.5234e-08;0.33322
0.39331;0.39331;2.1629e-08;0.39331
0.22443;0.22443;4.0743e-09;0.22443
0.54352;0.54352;-5.8103e-08;0.54352
0.35824;0.35824;-9.0738e-09;0.35824
0.39357;0.39357;1.3093e-07;0.39357
0.20597;0.20597;1.8463e-08;0.20597
0.38601;0.38601;-4.4644e-08;0.38601
0.31576;0.31576;-1.8034e-07;0.31576
0.25474;0.25474;1.0096e-07;0.25474
0.37776;0.37776;-3.222e-08;0.37776
0.50664;0.50664;1.2358e-07;0.50664
0.35257;0.35257;-3.5376e-09;0.35257
0.37735;0.37735;1.6438e-07;0.37735
0.22317;0.22317;1.2237e-07;0.22317
0.35517;0.35517;3.3827e-08;0.35517
0.3445;0.3445;-5.8492e-08;0.3445
0.25884;0.25884;1.7105e-07;0.25884
0.49021;0.49021;-2.9583e-07;0.49021
0.40482;0.40482;2.9878e-08;0.40482
0.30417;0.30417;-1.6976e-07;0.30417
0.24695;0.24695;-2.3168e-08;0.24695
0.46554;0.46554;-9.2473e-08;0.46554
0.36963;0.36963;-3.6147e-08;0.36963
0.48084;0.48084;1.1015e-08;0.48084
0.33126;0.33126;-2.663e-08;0.33126
0.35731;0.35731;-5.1136e-08;0.35731
0.37518;0.37518;-5.7188e-09;0.37518
0.33436;0.33436;-5.8125e-08;0.33436
0.24217;0.24217;9.9099e-08;0.24217
